"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000166710",24661,19834,33025,19446,34754,35039,25850,23869
"ENSG00000110321",30798,25513,34768,19021,33605,38418,25757,25031
"ENSG00000138119",11544,11206,15744,10210,19573,28431,14874,22327
"ENSG00000163661",2228,10318,5058,9790,2082,12673,3452,20176
"ENSG00000182752",4918,6200,4723,2079,10872,20760,2222,4199
"ENSG00000049323",14321,21629,19972,17205,18825,32452,13569,25225
"ENSG00000148926",12834,17083,18289,14952,11579,31028,14575,20100
"ENSG00000198899",37025,38294,49115,38054,42779,49197,33281,34838
"ENSG00000140988",26900,25714,24804,11636,25872,29647,18000,17842
"ENSG00000071242",7428,12142,9211,8506,10663,25292,6055,13285
"ENSG00000112096",11168,13633,12472,14681,22627,25242,7045,13557
"ENSG00000149591",2644,4880,7595,9967,4905,21560,4302,8264
"ENSG00000169604",11274,10299,16555,10103,21196,26045,10574,14562
"ENSG00000080824",15757,10887,21118,8492,24822,21585,13918,11530
"ENSG00000148175",6107,15751,7061,10343,7099,21092,5521,16515
"ENSG00000125844",14631,13438,17207,8391,17222,27119,10633,10821
"ENSG00000137154",29005,28917,29702,14775,27520,28851,20201,18920
"ENSG00000035403",11418,16360,17309,15613,10103,26071,12510,24430
"ENSG00000127603",9826,8341,12595,7970,11532,25726,8555,11709
"ENSG00000142192",28375,22989,35241,16653,29399,32559,25812,25065
"ENSG00000148303",22558,20755,26437,12661,27172,28508,16978,16404
"ENSG00000206538",5980,14931,11556,13996,6187,19650,7320,20404
"ENSG00000112769",18104,15138,23501,11363,22027,28052,14551,13519
"ENSG00000187134",7959,21208,10907,10958,14994,14113,7223,22434
"ENSG00000150938",5523,7813,11975,12247,6409,21780,6949,15771
"ENSG00000115677",23536,18274,26848,13579,26452,30911,20208,19787
"ENSG00000164761",7255,1742,17013,2945,13144,8958,11618,2723
"ENSG00000166741",2595,12158,3652,7564,3879,17335,1779,10730
"ENSG00000065534",16718,16120,26734,14932,21127,28377,15489,14970
"ENSG00000147027",5056,10982,13011,15585,8681,20968,7334,17888
"ENSG00000197043",10218,18364,12571,11834,10983,24777,8345,17073
"ENSG00000071127",7131,9960,8866,8070,7770,23137,6214,9819
"ENSG00000102265",14158,8154,19300,11390,22405,23148,19135,13414
"ENSG00000130508",8666,9708,13772,7683,15222,24027,8747,11482
"ENSG00000167552",16658,6291,16402,3253,14098,9584,8952,3668
"ENSG00000231500",27152,26786,25171,12367,19617,23164,17125,16888
"ENSG00000135919",8598,3953,21841,8228,10311,9149,8833,6154
"ENSG00000169504",13230,16437,16381,17096,12129,27430,12849,22719
"ENSG00000124212",11476,7057,20399,7265,6125,4542,14905,8887
"ENSG00000174807",18163,15068,20232,5830,16045,9241,14031,7172
"ENSG00000147403",28494,25893,23301,12935,21117,28440,19685,20206
"ENSG00000198888",24218,28824,34041,26629,36986,38541,26925,30545
"ENSG00000102144",7798,6981,9422,4769,7291,20710,5115,5636
"ENSG00000050165",12772,12887,20913,13000,18869,27144,15966,21281
"ENSG00000105372",22349,21944,15805,7955,14659,19552,12113,12031
"ENSG00000026508",19273,12357,25453,14886,24143,26890,23210,20267
"ENSG00000133026",8418,9297,18605,16200,9340,21469,12596,19165
"ENSG00000106366",3617,4066,7505,5467,5212,19161,4666,5625
"ENSG00000159674",13671,8453,8006,2435,18542,7637,9234,4588
"ENSG00000149131",16374,19724,25621,19343,12317,18945,18991,28449
"ENSG00000127022",13895,11488,16683,9603,17675,25386,12453,12210
"ENSG00000116962",4884,16444,5558,8983,5005,10391,4997,16193
"ENSG00000186340",22291,11431,19901,7226,13609,14529,17062,12118
"ENSG00000111669",7572,6294,8741,3535,8016,19077,5167,4980
"ENSG00000083857",8903,4948,10238,3860,12799,18132,6258,5516
"ENSG00000133112",29731,27952,35621,23116,28744,36448,25242,25728
"ENSG00000108298",20121,18884,22649,10267,20982,24238,14557,14278
"ENSG00000067167",6641,8318,10225,8214,10081,21398,6504,9937
"ENSG00000145555",5981,4478,7873,4659,10544,18896,6212,6822
"ENSG00000140545",4446,9946,6783,7837,8540,19192,5649,12849
"ENSG00000142798",11240,10826,21836,8345,11850,20057,14791,15819
"ENSG00000134243",1419,4541,2944,7427,2536,15066,1599,8874
"ENSG00000173706",8378,10997,15135,11103,8632,21332,7697,15245
"ENSG00000113721",17725,18484,21210,16640,22011,29776,15667,23977
"ENSG00000142871",1687,3002,3980,6160,2419,15282,1978,8568
"ENSG00000167244",2910,3233,9971,5011,6860,15336,1980,2786
"ENSG00000115415",5992,5920,6990,4632,10470,18523,5051,6602
"ENSG00000196230",14445,5569,13801,2742,11620,8547,7390,2970
"ENSG00000168398",8472,2826,9492,886,14109,4530,6928,1219
"ENSG00000151914",19117,12717,18728,7526,21446,19062,15352,14057
"ENSG00000229117",22591,21321,23011,11588,21089,24134,16349,15173
"ENSG00000154096",5166,3522,9942,4822,13490,15535,6202,5234
"ENSG00000204628",22354,21393,23885,11958,23536,24354,16310,17377
"ENSG00000164442",3250,8240,4740,7770,3715,9828,4079,16520
"ENSG00000137818",21662,22205,24061,12123,19204,24946,16189,16398
"ENSG00000134917",4735,6307,6969,2542,9451,15667,2873,3067
"ENSG00000162733",17647,14142,21872,13984,21938,24985,17752,24735
"ENSG00000197956",27156,21684,28502,14899,22182,24814,22351,18927
"ENSG00000163520",21665,16109,26748,12553,17133,19371,21712,22070
"ENSG00000110092",9529,7154,17601,10868,15213,20249,12261,11162
"ENSG00000197958",17058,14965,16388,7228,18505,19021,10747,10195
"ENSG00000047849",15532,14351,19186,11680,19374,24938,12804,15744
"ENSG00000188783",11315,7377,21430,12936,12159,17686,14140,15450
"ENSG00000174748",21031,18802,23582,11985,22240,24800,16657,17068
"ENSG00000167526",22421,21617,22036,10587,17494,22882,16829,17206
"ENSG00000117289",17037,12119,22102,13412,12467,8928,17579,17571
"ENSG00000100243",11767,12480,16105,9369,16225,21916,9516,13373
"ENSG00000106624",10109,5690,18088,10323,14936,17042,10693,10745
"ENSG00000134853",12020,12649,17267,16939,13591,21749,13025,22525
"ENSG00000197102",20075,14668,17455,8600,20247,21499,15589,15821
"ENSG00000070756",20258,18600,23722,12260,23673,24039,16983,17766
"ENSG00000124762",14568,6413,10122,2749,13293,7781,8044,4257
"ENSG00000187079",5987,7714,7937,6750,8512,18174,5079,9816
"ENSG00000077809",10030,8588,12479,7780,14801,19803,8871,9389
"ENSG00000185624",13556,11383,15871,8202,15406,21245,11165,10449
"ENSG00000064666",5592,7621,8185,7553,7064,18338,5931,9340
"ENSG00000172037",11912,7084,17848,8213,16701,16964,11157,11908
"ENSG00000170017",3678,3456,4209,5191,6562,15645,4342,8338
"ENSG00000161016",19626,18395,17572,9018,16025,19223,11478,11825
"ENSG00000108828",15568,7437,18687,7558,15261,11469,15203,11324
"ENSG00000011028",18210,13395,23978,10779,18026,19714,16880,15349
"ENSG00000149273",18766,18496,14570,7664,12354,14489,10296,10052
"ENSG00000034510",10829,10179,16055,7516,16784,18635,10966,9693
"ENSG00000142937",19899,18743,20592,9981,17668,19940,13408,13028
"ENSG00000204262",13122,17384,16267,11180,17860,23767,12598,17368
"ENSG00000050405",6327,5606,13017,5367,12691,15242,8344,5943
"ENSG00000121039",6768,3522,13898,6257,7819,14500,5947,5903
"ENSG00000115310",13633,12798,20244,13519,18327,23924,14113,15706
"ENSG00000100097",19683,16227,20808,9895,19737,21641,16859,14540
"ENSG00000112306",19630,18826,15981,8328,12135,15037,12125,11322
"ENSG00000119318",6083,7305,11321,7660,8300,17556,5530,7735
"ENSG00000187514",7027,6769,8999,4633,13046,16100,7233,6188
"ENSG00000138735",8227,3062,14439,4044,8897,4920,9275,3709
"ENSG00000120885",15180,10082,22895,12981,16518,15892,12686,12586
"ENSG00000009307",14887,12833,19863,11612,19887,22097,13495,14987
"ENSG00000148180",11810,15564,10931,8104,12827,19621,10125,17075
"ENSG00000133110",1710,469,12652,3357,4966,1498,5498,2923
"ENSG00000087460",13347,10814,19328,10854,18854,20865,15461,15337
"ENSG00000198363",13979,9022,15702,7709,18750,17029,13534,11610
"ENSG00000089009",18598,17243,19536,10185,19174,21325,14312,13084
"ENSG00000087303",4722,4663,9392,6931,8179,15951,4616,7254
"ENSG00000150687",9710,4180,15462,6125,6480,5105,6747,4137
"ENSG00000197324",10624,10850,14227,9601,15595,20847,10269,13661
"ENSG00000058668",9975,7392,16375,7484,12933,17286,10602,9607
"ENSG00000122176",15976,11539,22654,10885,12903,17269,14781,14728
"ENSG00000128591",12658,10698,15499,5748,14495,17083,11007,8667
"ENSG00000168477",11640,5726,13824,5224,3816,3682,9302,7861
"ENSG00000024422",10940,11446,13005,7734,14671,19665,9118,10741
"ENSG00000114251",4262,2516,5412,1829,9344,11591,2558,1744
"ENSG00000168028",19283,18656,16955,8644,16571,18426,13379,12653
"ENSG00000148516",7691,7907,11308,8881,11892,18790,8701,12639
"ENSG00000198959",6078,8157,12926,7579,7449,17038,10205,12279
"ENSG00000159403",24903,26553,28932,18883,21976,29094,22237,27220
"ENSG00000184347",14720,11098,21049,9876,10170,12279,14678,15075
"ENSG00000152377",3112,5037,4315,6208,8496,14305,4397,8040
"ENSG00000181104",7007,5464,6946,4417,9071,15647,5231,6792
"ENSG00000152580",9871,2998,10985,3057,4348,2488,9610,4882
"ENSG00000103994",8765,8362,11487,8746,10646,16057,8355,17086
"ENSG00000104765",7464,6731,8814,5899,9059,16824,6204,8269
"ENSG00000101825",5169,1971,12471,2458,6960,3005,5400,2573
"ENSG00000147065",9943,8939,11996,6767,13146,17731,8449,8866
"ENSG00000101335",3400,3969,8864,5565,7274,14035,4296,6101
"ENSG00000142534",17505,16612,18638,9196,17789,19479,13305,13453
"ENSG00000160789",13934,12626,16491,9551,12427,21401,14491,14783
"ENSG00000077782",14982,13448,17039,9498,16113,21698,14209,15388
"ENSG00000197879",6253,7576,8333,5897,7597,16614,6918,9585
"ENSG00000167978",10826,10243,13853,6372,14135,17555,9584,10187
"ENSG00000145730",9454,7286,15352,9582,14207,17607,11935,12549
"ENSG00000128791",12170,9178,8712,5970,13259,17082,9069,9685
"ENSG00000105640",16144,16007,13109,6451,12127,14939,9990,9910
"ENSG00000133687",2666,3640,6328,4999,7526,13249,3106,6583
"ENSG00000147604",19689,17838,20976,11726,19034,20740,14863,14337
"ENSG00000161011",13647,6905,10762,4366,13683,8699,10209,6377
"ENSG00000162614",1820,7562,2765,6569,2226,10300,2278,8552
"ENSG00000166441",13532,12892,16233,7825,15841,16472,10066,9586
"ENSG00000168615",14773,14617,20757,13132,19348,22211,14967,16235
"ENSG00000196576",14218,8718,11481,4945,12701,14748,9666,8442
"ENSG00000100644",4359,6357,6480,4524,7135,14164,3842,5374
"ENSG00000049540",4242,8030,7801,6454,2780,6282,5698,13802
"ENSG00000122707",11225,6387,16402,8431,10807,13509,14762,11854
"ENSG00000136156",11328,15289,15515,12515,13079,20053,13005,19620
"ENSG00000204592",7533,8744,11600,8083,13244,17007,8250,11269
"ENSG00000173517",5046,9151,6905,6557,5687,13216,5274,12411
"ENSG00000092841",5275,7624,8659,7053,6893,15440,5380,8214
"ENSG00000187955",10723,3304,7471,3113,5305,3850,11303,6657
"ENSG00000167996",11942,11540,11561,6544,12187,17978,12218,9384
"ENSG00000172380",7396,6218,9714,4969,11026,15066,7439,7437
"ENSG00000113083",8448,9235,16171,13695,9872,15644,10040,15188
"ENSG00000138356",1394,5035,2462,3415,4869,10977,1791,7145
"ENSG00000145592",14188,13963,14962,7042,14183,16684,10282,10223
"ENSG00000145623",5027,5493,6601,4610,7627,14025,4199,6521
"ENSG00000182492",8865,4923,9950,4956,13607,12244,11092,8737
"ENSG00000119139",1707,4747,3256,7261,2291,9164,1717,8800
"ENSG00000142089",8621,8112,10444,6381,12776,16433,9008,9627
"ENSG00000168385",14331,11572,15063,9134,15949,18998,12038,11405
"ENSG00000164932",800,974,1101,1534,3485,10140,1363,2125
"ENSG00000197256",16619,14590,18892,13407,16676,22054,15688,21468
"ENSG00000233369",6695,5519,8709,5161,10398,14298,5933,6639
"ENSG00000130635",13180,8003,13765,4648,10393,10065,10353,6577
"ENSG00000136546",2621,4410,3187,5322,1716,5265,3782,11784
"ENSG00000184779",14499,14689,13488,6997,12388,14810,9335,8619
"ENSG00000108654",12625,12513,15121,9228,15922,18785,10494,12379
"ENSG00000196549",8461,6365,12664,6364,12381,14587,8419,8607
"ENSG00000163682",15565,14554,14512,7638,12823,14887,9491,9290
"ENSG00000022267",7354,8775,11436,8544,8584,16109,9346,13964
"ENSG00000162244",13575,13330,13401,6402,13507,15205,9020,9262
"ENSG00000105974",8655,13298,9958,10775,12021,14772,9850,17874
"ENSG00000232561",6541,5405,8538,5046,10262,13965,5845,6453
"ENSG00000214548",11225,7622,13316,4701,12787,11257,11382,7305
"ENSG00000135677",8485,6480,12843,6843,13484,14132,8817,8851
"ENSG00000155130",8421,3293,7960,2235,10541,5778,6882,2543
"ENSG00000108582",4533,4578,8270,7638,6636,13741,7067,10091
"ENSG00000138080",14497,16057,12635,8062,10900,17032,10769,11331
"ENSG00000159840",6470,9691,8216,6666,6690,14913,5457,8548
"ENSG00000140092",7882,8446,10386,6709,10535,16126,7324,10278
"ENSG00000115594",11544,11742,10391,8182,15754,16126,8299,12479
"ENSG00000177954",14430,13487,16509,7730,14945,15816,11352,10814
"ENSG00000144713",14336,13586,15756,7308,13810,14493,10036,9933
"ENSG00000198034",17461,16251,18984,9764,17386,17546,18259,18182
"ENSG00000096384",12002,8661,14362,6389,14249,12695,10909,8288
"ENSG00000139644",9228,10197,12910,8896,11946,17395,8455,10905
"ENSG00000162734",7790,6747,14934,7239,9583,12693,8612,7787
"ENSG00000125730",7730,7217,14013,8498,4625,5483,8870,9937
"ENSG00000125691",12812,12110,14127,7345,13870,15995,9683,9387
"ENSG00000167004",9719,7134,11564,5886,11107,14349,8073,6810
"ENSG00000102804",2627,5781,4416,5545,4378,11750,2858,6538
"ENSG00000184110",12197,10070,8906,4266,9585,10004,5270,5294
"ENSG00000115053",8601,7840,10676,5634,11676,14276,7584,6739
"ENSG00000149257",9481,4856,9497,3014,9519,9918,7890,4067
"ENSG00000185567",6808,3048,6685,2237,1899,2193,8951,7381
"ENSG00000145012",4057,4249,4743,3343,4634,12042,3611,4360
"ENSG00000122406",14410,13690,14490,8626,15556,16910,10768,10672
"ENSG00000205609",12016,9900,8705,4184,9394,9815,5191,5193
"ENSG00000166963",10604,5799,10516,3718,10243,6048,6779,4354
"ENSG00000009413",4986,9573,5214,7251,5563,10312,4700,11982
"ENSG00000136859",8137,4451,9008,3065,11452,5149,7307,4638
"ENSG00000142676",13739,12874,15377,7664,14272,15279,10521,9839
"ENSG00000110651",16123,13132,18490,11924,17568,20500,15309,15221
"ENSG00000134250",9063,7965,13444,7573,12164,15292,9389,12338
"ENSG00000136205",8537,5443,13114,7094,8862,13246,7539,8002
"ENSG00000125148",1654,6003,1370,3868,1355,8824,1189,4961
"ENSG00000189343",10664,10022,8792,4172,8945,10309,4626,4731
"ENSG00000204941",351,145,8168,3395,1476,1054,194,108
"ENSG00000169213",1558,1489,3572,2368,3679,10061,2303,3328
"ENSG00000058262",10534,7508,12744,5762,11814,13261,9740,7216
"ENSG00000164924",10117,9751,11255,7495,12155,15927,8014,8325
"ENSG00000158710",10598,11069,11260,4442,12576,12032,8356,7487
"ENSG00000197081",13840,11580,13417,6947,15196,15266,11323,10942
"ENSG00000184640",11613,7959,10953,4372,11065,10227,7656,5562
"ENSG00000107957",9138,8071,10254,5835,9851,14622,6522,8321
"ENSG00000070614",5984,6705,10638,5620,7430,13597,6840,8308
"ENSG00000197321",9286,6131,12299,4507,11624,9270,8408,6448
"ENSG00000153071",10104,8958,12325,8286,14612,15925,9990,11734
"ENSG00000161203",7873,7938,9425,5434,11023,13790,6555,7138
"ENSG00000120129",665,5020,1213,4541,816,6332,695,6840
"ENSG00000118985",5368,6003,5914,3592,8523,11984,4294,5433
"ENSG00000225630",8081,7905,10774,7496,12047,14216,6542,8027
"ENSG00000129250",4970,6014,8068,6144,7161,13367,5402,7828
"ENSG00000030582",10904,7964,13735,6999,13548,14104,12219,11364
"ENSG00000108107",12860,10832,11022,5060,12084,12613,8553,8639
"ENSG00000198755",11379,10950,11650,5696,11979,13919,8229,8228
"ENSG00000138326",11020,10824,13637,6907,13717,14700,9763,9227
"ENSG00000189184",9127,3754,9963,3236,8039,6191,8831,4419
"ENSG00000141367",10650,9327,12584,7413,12620,15887,9921,9284
"ENSG00000159176",2186,2751,3744,2151,3321,10276,3551,3283
"ENSG00000116285",835,3133,1290,4344,1506,7810,769,5928
"ENSG00000185432",1428,5428,1644,5214,1295,4784,1179,8178
"ENSG00000114867",7251,7499,8724,5221,9167,13834,6294,7227
"ENSG00000127241",6397,4345,9603,5142,9126,9189,11652,10228
"ENSG00000188846",10953,10363,12255,5877,12379,13822,8428,8531
"ENSG00000196262",9241,9388,11637,7198,11052,14815,7260,8043
"ENSG00000162909",13301,12084,12638,8141,13474,17515,11492,12360
"ENSG00000112936",256,4900,293,914,943,7178,208,2076
"ENSG00000171867",9008,6337,10600,5643,12813,12021,8293,7776
"ENSG00000118689",3295,5209,3141,5104,3621,9822,2897,8284
"ENSG00000000971",3251,3679,6177,4252,6721,11027,5176,7995
"ENSG00000174348",10112,7371,14130,5457,10717,8620,8994,8077
"ENSG00000181163",9534,8478,13413,6985,13247,13597,9753,8920
"ENSG00000100201",13190,11133,12824,7588,14126,16260,10779,12315
"ENSG00000085733",9594,8468,10990,6521,11654,14671,8302,8466
"ENSG00000179295",5816,7552,7132,5912,8861,13342,5582,8359
"ENSG00000213626",2087,4696,5891,6415,1391,8413,1922,5920
"ENSG00000171314",6979,5816,7807,3837,6979,11897,4886,4677
"ENSG00000038427",9624,6485,11227,3855,10844,10685,9587,8908
"ENSG00000185896",11407,9675,13662,7773,12868,15234,9324,9819
"ENSG00000168610",6697,8679,6658,5839,7710,13177,5513,9661
"ENSG00000039560",3717,4005,4846,3934,5125,11347,4062,5151
"ENSG00000085063",9584,8822,12261,8087,13513,15577,10454,11510
"ENSG00000144810",2373,3263,3729,3563,3470,9360,795,2390
"ENSG00000147526",6105,9764,7040,8318,6557,11839,6022,12176
"ENSG00000179820",1828,3937,2570,3532,1747,9097,2308,5812
"ENSG00000206503",7120,5327,13107,6211,9729,9887,8826,7048
"ENSG00000165029",5601,5304,8659,5618,11019,11406,8191,10122
"ENSG00000008441",13653,9483,13436,6080,12077,11576,12068,9821
"ENSG00000138449",4876,2966,7641,7602,7778,11526,6356,7625
"ENSG00000113719",4666,6634,7064,6220,5726,12328,4592,8143
"ENSG00000138674",10046,7643,10771,5163,11610,12648,8296,7542
"ENSG00000131236",6105,7067,7510,5921,6814,13109,4915,7179
"ENSG00000071054",10555,8057,12062,6440,13098,13568,9440,9468
"ENSG00000134363",3102,674,7670,1042,5720,2642,3338,982
